Data|Unidade gestora|CPF/CNPJ|Natureza da despesa|Modalidade da licitação|Registro|Valor (R$)|
27/05/2019|005 - Fundo Municipal de Assistência Social|XXX.618.063-92|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|350,00|
07/06/2019|005 - Fundo Municipal de Assistência Social|XXX.870.028-26|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|350,00|
07/06/2019|005 - Fundo Municipal de Assistência Social|XXX.169.503-68|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|350,00|
26/06/2019|005 - Fundo Municipal de Assistência Social|XXX.093.553-60|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|140,00|
02/07/2019|030 - Secretaria de Turismo e Cultura|XXX.737.733-53|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|900,00|
02/07/2019|003 - Fundo Municipal de Saúde|XXX.539.903-87|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|1.200,00|
05/07/2019|027 - Sec. de Cidadania e Desenvolvimento Social|XXX.195.693-31|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|1.000,00|
09/07/2019|027 - Sec. de Cidadania e Desenvolvimento Social|XXX.770.893-01|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|1.000,00|
07/08/2019|005 - Fundo Municipal de Assistência Social|XXX.942.593-06|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|350,00|
12/08/2019|018 - Gabinete do Prefeito|XXX.218.283-06|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|100,00|
12/08/2019|018 - Gabinete do Prefeito|XXX.254.333-53|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|125,00|
28/08/2019|030 - Secretaria de Turismo e Cultura|XXX.737.733-53|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|1.200,00|
28/08/2019|032 - Secretaria de Desenv. Econômico, Trab. e Renda|XXX.804.203-00|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|1.200,00|
20/09/2019|034 - Secretaria de Esporte e Lazer|XXX.561.313-49|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|1.200,00|
24/09/2019|033 - Secretaria de Desenv. Agrário e Rec.  Hídricos|XXX.264.929-34|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|150,00|
27/09/2019|005 - Fundo Municipal de Assistência Social|XXX.942.593-06|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|350,00|
02/10/2019|042 - Casa Civil|XXX.557.583-08|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|70,00|
02/10/2019|044 - Controladoria e Ouvidoria Geral do Município|XXX.094.933-65|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|70,00|
02/10/2019|042 - Casa Civil|XXX.371.933-49|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|70,00|
15/10/2019|010 - FUNDEB|XXX.347.863-87|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|140,00|
18/10/2019|030 - Secretaria de Turismo e Cultura|XXX.737.733-53|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|600,00|
18/10/2019|030 - Secretaria de Turismo e Cultura|XXX.468.553-21|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|200,00|
21/10/2019|004 - Fundo Municipal de Educação|XXX.793.403-82|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|150,00|
07/11/2019|030 - Secretaria de Turismo e Cultura|XXX.737.733-53|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|1.200,00|
07/11/2019|005 - Fundo Municipal de Assistência Social|XXX.330.123-05|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|140,00|
07/11/2019|005 - Fundo Municipal de Assistência Social|XXX.195.693-31|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|140,00|
07/11/2019|032 - Secretaria de Desenv. Econômico, Trab. e Renda|XXX.804.203-00|3.3.90.14.00 - Diárias - civil|Outros/não se aplica|Realizado|1.200,00|
