Nº Contrato|Contratado|Objeto do Contrato|Contratante|Valor do Contrato|
00002383|01 DB BRASIL COMERCIO DE EQUIPAMENTOS LTDA|AQUISIÇÃO DA ATUALIZAÇÃO DE SOFTWARES|FUNDO DE DEFESA DO MEIO AMBIENTE|104.270,00|
00004725|A. IGOR FURTADO LIMA EVENTOS - ME|CONSTITUI OBJETO DESTE CONTRATO A CONTRATAÇÃO DE EMPRESA(S) ESPECIALIZADA(S) PARA PRESTAÇÃO, SOB DEMANDA, DE SERVIÇOS DE EVENTOS, POR OCASIÃO DE COMEMORAÇÕES, INAUGURAÇÕES, SOLENIDADES, DATAS COMEMORATIVAS DE INTERESSE PÚBLICO DA SECRETARIA MUNICIPAL DE SEGURANÇA CIDADÃ, SEMINÁRIOS, PALESTRAS, TREINAMENTOS E EVENTOS EM GERAL, COM O FORNECIMENTO DE INFRA-ESTRUTURA, APOIO LOGÍSTICO E ALIMENTAÇÃO DURANTE O PERÍODO DE 12 (DOZE) MESES, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO I –TERMO DE REFERÊNCIA DESTE EDITAL.|SECRETARIA MUNICIPAL DA SEGURANCA CIDADA|47.500,00|
00002808|A. IGOR FURTADO LIMA EVENTOS - ME|CONTRATAÇÃO DE PESSOA JURIDICA PARA EXECUÇÃO AÇÕES DO PROJETO APOIO AO DESENVOLVIMENTO TERRITORIAL SOLIDARIO - ADTS|SECRETARIA MUNICIPAL DO DESENVOLVIMENTO ECONOMICO|680.900,00|
00003322|A. IGOR FURTADO LIMA EVENTOS - ME|PRESTAÇÃO, SOB DEMANDA DE FORNECIMENTO DE INFRAESTRUTURA NO QUE SE REFERE À DISPONIBILIZAÇÃO DE ESPAÇO FÍSICO COM MOBILIÁRIO, EQUIPAMENTOS E MATERIAIS NECESSÁRIOS, INCLUINDO O FORNECIMENTO DE ALIMENTAÇÃO E BEBIDA, ALÉM DEOUTROS SERVIÇOS CORRELATOS PARA AMPARO AOS EVENTOS PROMOVIDOS PELA SEUMA, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO PROCESSO SPU Nº P 205874/2016|SECRETARIA MUNICIPAL DO URBANISMO E MEIO AMBIENTE|100.000,00|
00000204|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|CONTRATO 048/2017 - PE N.272/2016 ATA REG.PREÇO 03/2017 - P.A. N. P171697/2016. OBJETO: AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20 (VINTE) LITROS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO - A - TERMO DE REFERENCIA DO EDITAL DO PREGÃO ELETRÔNICO N.272/2016, E ANEXO ÚNICO DESTE CONTRATO.|HOSPITAL DISTRITAL GONZAGA MOTA/BARRA DO CEARA|27.045,00|
00000207|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|O PRESENTE CONTRATO TEM POR OBJETO A FUTURA E EVENTUAIS AQUISIÇÕES DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20 (VINTE) LITROS, TRANSPARENTES HIGIENIZADOS, NA PARTE INTERNA E EXTERNADOS GARRAFÕES COM PROTETOR NA PARTE SUPERIOR E LACRE DE SEGURANÇA, PARA A PROCURADORIA GERAL DO MUNICÍPIO - PGM O ANEXO PGM DO FÓRUM CLÓVIS BEVILÁQUA, CONFORME O PLANO DE SUPRIMENTO O QUADRO DE ESPECIFICAÇÕES, QUANTITATIVOS E VALORES CONSTANTES NO PROCESSO P566710/2017.|PROCURADORIA GERAL DO MUNICIPIO|10.818,00|
00000212|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|CONTRATO A AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20(VINTE) LITROS, PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE EDUCAÇÃO DE FORTALEZA.|FUNDO MUNICIPAL DE EDUCACAO|51.085,00|
00000267|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|CONSTITUI OBJETO DESTE CONTRATO A AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20(VINTE) LITROS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO A- TERMO DE REFERÊNCIA DO EDITAL, PREGÃO ELETRÔNICO N° 272/2016.|SECRETARIA REGIONAL DO CENTRO|24.040,00|
00000169|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|CONSTITUI OBJETO DESTE CONTRATO A AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS, ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20 (VINTE) LITROS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO A – TERMO DE REFERÊNCIA DO EDITAL, PREGÃO ELETRÔNICO Nº 272/2016.|SECRETARIA MUNICIPAL DA SEGURANCA CIDADA|15.626,00|
00000290|ACQUA RIOS INDUSTRIA E COMERCIO DE AGUA LTDA ME|CONTRATO Nº 05/2017 TEM COMO OBJETO A AQUISIÇÃO DE ÁGUA MINERAL SEM GÁS,ACONDICIONADA EM GARRAFÕES PLÁSTICOS DE 20(VINTE) LITROS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE FORTALEZA, DE ACORDO COM O PREGÃO ELETRÔNICO N° 272/2016, VIGENTE  POR 12(DOZE) MESES.|SECRETARIA MUNICIPAL DO PLANEJAMENTO, ORCAMENTO  E GESTAO|12.020,00|
